Date,User,Tweet,Time,Cleaned_Tweet,Tokens
2022:08:10,tsg_sportsgrail,AAP MLA Saurabh Bhardwaj Lies About Divya Kakran Not Representing Delhi After She Hits Out At Arvind Kejriwal For No Support #aap #kejriwal #arvindkejriwal #cwg2022 #cwg22 #mla #delhi #newdelhi 3divyakakran https://t.co/kcMVWSUald,09:02:30,aap mla saurabh bhardwaj lies about divya kakran not representing delhi after she hits out at arvind kejriwal for no support #aap #kejriwal #arvindkejriwal #cwg2022 #cwg22 #mla #delhi #newdelhi 3divyakakran ,"['AAP', 'MLA', 'Saurabh', 'Bhardwaj', 'Lies', 'About', 'Divya', 'Kakran', 'Not', 'Representing', 'Delhi', 'After', 'She', 'Hits', 'Out', 'At', 'Arvind', 'Kejriwal', 'For', 'No', 'Support', '#aap', '#kejriwal', '#arvindkejriwal', '#cwg2022', '#cwg22', '#mla', '#delhi', '#newdelhi', '3divyakakran', 'https://t.co/kcMVWSUald']"
2022:10:10,TIMES18News,RJD President Lalu Prasad Tejashwi Yadav Pitches For Opposition Unity In National Executive Meeting Delhi And Slams Narendra Modi BJP https://t.co/tLl4QlW2Eg,12:52:39,rjd president lalu prasad tejashwi yadav pitches for opposition unity in national executive meeting delhi and slams narendra modi bjp ,"['RJD', 'President', 'Lalu', 'Prasad', 'Tejashwi', 'Yadav', 'Pitches', 'For', 'Opposition', 'Unity', 'In', 'National', 'Executive', 'Meeting', 'Delhi', 'And', 'Slams', 'Narendra', 'Modi', 'BJP', 'https://t.co/tLl4QlW2Eg']"
2022:09:21,HUNTDAILYNEWS1,French President Emmanuel Macron said Indian Prime Minister Narendra Modi was right when he said this is not the time for war https://t.co/uXUv5swSHK,04:28:54,french president emmanuel macron said indian prime minister narendra modi was right when he said this is not the time for war ,"['French', 'President', 'Emmanuel', 'Macron', 'said', 'Indian', 'Prime', 'Minister', 'Narendra', 'Modi', 'was', 'right', 'when', 'he', 'said', 'this', 'is', 'not', 'the', 'time', 'for', 'war', 'https://t.co/uXUv5swSHK']"
2022:07:12,tfipost,"The appointment of Raghav Chadha as a secret Chief Minister will bring a sigh of relief to Arvind Kejriwal

https://t.co/BZKGXigyM3",09:30:00,the appointment of raghav chadha as secret chief minister will bring sigh of relief to arvind kejriwal ,"['The', 'appointment', 'of', 'Raghav', 'Chadha', 'as', 'a', 'secret', 'Chief', 'Minister', 'will', 'bring', 'a', 'sigh', 'of', 'relief', 'to', 'Arvind', 'Kejriwal', 'https://t.co/BZKGXigyM3']"
2022:08:27,Man_u_man,@thatmarineguy21 @ArvindKejriwal Arvind kejriwal will not answer but he will question other party and States. Advertisement karna hai tho bolo??? bhot bada budget @AamAadmiParty ka.,13:52:23, arvind kejriwal will not answer but he will question other party and states. advertisement karna hai tho bolo??? bhot bada budget ka.,"['@thatmarineguy21', '@ArvindKejriwal', 'Arvind', 'kejriwal', 'will', 'not', 'answer', 'but', 'he', 'will', 'question', 'other', 'party', 'and', 'States.', 'Advertisement', 'karna', 'hai', 'tho', 'bolo???', 'bhot', 'bada', 'budget', '@AamAadmiParty', 'ka.']"
2022:08:09,TheMornStandard,"Chief Minister Arvind Kejriwal on Tuesday said Covid cases are on the rise in Delhi but there is no need to panic as most new cases were mild in nature.

@NewIndianXpress @santwana99 

https://t.co/u2bVd0QmO4",09:19:36,chief minister arvind kejriwal on tuesday said covid cases are on the rise in delhi but there is no need to panic as most new cases were mild in nature. ,"['Chief', 'Minister', 'Arvind', 'Kejriwal', 'on', 'Tuesday', 'said', 'Covid', 'cases', 'are', 'on', 'the', 'rise', 'in', 'Delhi', 'but', 'there', 'is', 'no', 'need', 'to', 'panic', 'as', 'most', 'new', 'cases', 'were', 'mild', 'in', 'nature.', '@NewIndianXpress', '@santwana99', 'https://t.co/u2bVd0QmO4']"
2022:10:04,SabastianAugus1,Shashi Tharoor Claims Rahul Gandhi Wanted Hin To Run For Congress Presid... https://t.co/NgwVzoeyca via @YouTube,18:22:20,shashi tharoor claims rahul gandhi wanted hin to run for congress presid... via ,"['Shashi', 'Tharoor', 'Claims', 'Rahul', 'Gandhi', 'Wanted', 'Hin', 'To', 'Run', 'For', 'Congress', 'Presid...', 'https://t.co/NgwVzoeyca', 'via', '@YouTube']"
2022:10:03,money_and_biz_,[Bloomberg] Prime Minister Narendra Modi is banking on a 100-trillion-rupee mega project to ease bottlenecks on  https://t.co/ZYIW5sgxGI,06:08:43,[bloomberg] prime minister narendra modi is banking on 100-trillion-rupee mega project to ease bottlenecks on ,"['[Bloomberg]', 'Prime', 'Minister', 'Narendra', 'Modi', 'is', 'banking', 'on', 'a', '100-trillion-rupee', 'mega', 'project', 'to', 'ease', 'bottlenecks', 'on', 'https://t.co/ZYIW5sgxGI']"
2022:07:11,AnkitJain9873,"Arvind Kejriwal completed the first guarantee in GOA. 
@AAPGoa https://t.co/aJS7dwrBNW",07:51:36,arvind kejriwal completed the first guarantee in goa. ,"['Arvind', 'Kejriwal', 'completed', 'the', 'first', 'guarantee', 'in', 'GOA.', '@AAPGoa', 'https://t.co/aJS7dwrBNW']"
2022:09:30,NewsMobileIndia,"PM Narendra Modi to launch 5G services on 1st October

He will also inaugurate the sixth edition of the Indian Mobile Congress (IMC) to be held from 1st to 4th October with the theme of “New digital Universe”, says PMO. https://t.co/sAIATqHRIi",06:32:42,"pm narendra modi to launch 5g services on 1st october he will also inaugurate the sixth edition of the indian mobile congress (imc) to be held from 1st to 4th october with the theme of “new digital universe”, says pmo. ","['PM', 'Narendra', 'Modi', 'to', 'launch', '5G', 'services', 'on', '1st', 'October', 'He', 'will', 'also', 'inaugurate', 'the', 'sixth', 'edition', 'of', 'the', 'Indian', 'Mobile', 'Congress', '(IMC)', 'to', 'be', 'held', 'from', '1st', 'to', '4th', 'October', 'with', 'the', 'theme', 'of', '“New', 'digital', 'Universe”,', 'says', 'PMO.', 'https://t.co/sAIATqHRIi']"
2022:10:05,Devil_Pranu_7,"This Is Undoubtedly The Best
Thing Happening Under The
Prime Minister Of India Narendra Modi

#DoubleEngine4Himachal https://t.co/2L9cazpGhJ",09:45:11,this is undoubtedly the best thing happening under the prime minister of india narendra modi #doubleengine4himachal ,"['This', 'Is', 'Undoubtedly', 'The', 'Best', 'Thing', 'Happening', 'Under', 'The', 'Prime', 'Minister', 'Of', 'India', 'Narendra', 'Modi', '#DoubleEngine4Himachal', 'https://t.co/2L9cazpGhJ']"
2022:09:17,Ramendr02120385,"Happy Birth Day to ,100% successful PM of India Shree Narendra Modi ji, praying for his
Long life !",05:56:31,"happy birth day to ,100% successful pm of india shree narendra modi ji, praying for his long life !","['Happy', 'Birth', 'Day', 'to', ',100%', 'successful', 'PM', 'of', 'India', 'Shree', 'Narendra', 'Modi', 'ji,', 'praying', 'for', 'his', 'Long', 'life', '!']"
2022:08:17,DeepakM94036064,@ArvindKejriwal Birthday greetings to delhi chief minister Shri Arvind Kejriwal jiI pray for his log life and good health,05:39:07, birthday greetings to delhi chief minister shri arvind kejriwal jii pray for his log life and good health,"['@ArvindKejriwal', 'Birthday', 'greetings', 'to', 'delhi', 'chief', 'minister', 'Shri', 'Arvind', 'Kejriwal', 'jiI', 'pray', 'for', 'his', 'log', 'life', 'and', 'good', 'health']"
2022:10:19,Kap57608111,"Some media comments

“Rahul Gandhi pulls off one of the most successful campaigns in Indian politics”

“The Congress grass roots has managed the biggest and most sweeping political event since Gandhi’s Salt March flawlessly”

BJP seems to have lost grip over the narrative”",00:06:56,some media comments “rahul gandhi pulls off one of the most successful campaigns in indian politics” “the congress grass roots has managed the biggest and most sweeping political event since gandhi’s salt march flawlessly” bjp seems to have lost grip over the narrative”,"['Some', 'media', 'comments', '“Rahul', 'Gandhi', 'pulls', 'off', 'one', 'of', 'the', 'most', 'successful', 'campaigns', 'in', 'Indian', 'politics”', '“The', 'Congress', 'grass', 'roots', 'has', 'managed', 'the', 'biggest', 'and', 'most', 'sweeping', 'political', 'event', 'since', 'Gandhi’s', 'Salt', 'March', 'flawlessly”', 'BJP', 'seems', 'to', 'have', 'lost', 'grip', 'over', 'the', 'narrative”']"
2022:10:04,Chotturaman,Visit to temple( rented Gandhi Hindu title) church( Italian Mother ) &amp; mosque( Muslim father)  :ALL IN ONE PAPPU Rahul Gandhi’s day out on Day 24 of Yatra,06:08:31,visit to temple( rented gandhi hindu title) church( italian mother ) &amp; mosque( muslim father) :all in one pappu rahul gandhi’s day out on day 24 of yatra,"['Visit', 'to', 'temple(', 'rented', 'Gandhi', 'Hindu', 'title)', 'church(', 'Italian', 'Mother', ')', '&amp;', 'mosque(', 'Muslim', 'father)', ':ALL', 'IN', 'ONE', 'PAPPU', 'Rahul', 'Gandhi’s', 'day', 'out', 'on', 'Day', '24', 'of', 'Yatra']"
2022:08:02,HelloCrandil,"@bmahabharat2 Gujarat voters hv 
A solid tried trusted Alternative namely 
People's AAP 
Incorruptible 
Arvind Kejriwal 
Leading the crusade 
Not gujjubania stooges 
ModiShah with
BJP and RSS 
Willing to break up 
Bharat nation 
Sell it to 
Greedy cronies.
🥶🌶",17:27:15, gujarat voters hv solid tried trusted alternative namely people's aap incorruptible arvind kejriwal leading the crusade not gujjubania stooges modishah with bjp and rss willing to break up bharat nation sell it to greedy cronies. 🥶🌶,"['@bmahabharat2', 'Gujarat', 'voters', 'hv', 'A', 'solid', 'tried', 'trusted', 'Alternative', 'namely', ""People's"", 'AAP', 'Incorruptible', 'Arvind', 'Kejriwal', 'Leading', 'the', 'crusade', 'Not', 'gujjubania', 'stooges', 'ModiShah', 'with', 'BJP', 'and', 'RSS', 'Willing', 'to', 'break', 'up', 'Bharat', 'nation', 'Sell', 'it', 'to', 'Greedy', 'cronies.', '🥶🌶']"
2022:09:17,yashdholiya,Happy Birthday to Indian prime minister Shree Narendra Modi ji 🎊🎉 @narendramodi @PMOIndia,02:53:15,happy birthday to indian prime minister shree narendra modi ji 🎊🎉 ,"['Happy', 'Birthday', 'to', 'Indian', 'prime', 'minister', 'Shree', 'Narendra', 'Modi', 'ji', '🎊🎉', '@narendramodi', '@PMOIndia']"
2022:09:29,AltafbukhariB,@pradipsinhbjp @narendramodi Welcome to Gujarat honorable Prime Minister Narendra Modi ji💐💐,04:58:05, welcome to gujarat honorable prime minister narendra modi ji💐💐,"['@pradipsinhbjp', '@narendramodi', 'Welcome', 'to', 'Gujarat', 'honorable', 'Prime', 'Minister', 'Narendra', 'Modi', 'ji💐💐']"
2022:10:17,HWNewsEnglish,"""Rahul Gandhi Stop Bharat Jodo Yatra, Go Himachal &amp; Gujarat For Campaigning"": Congress MP Francisco Sardinha - https://t.co/DlzyHmY9BA
#BharatJodoYatra #Congress #RahulGandhi #GujaratElections2022 #HimachalElections2022 #StopBharatJodoYatra https://t.co/v9aSYTc6p3",09:16:18,"""rahul gandhi stop bharat jodo yatra, go himachal &amp; gujarat for campaigning"": congress mp francisco sardinha - #bharatjodoyatra #congress #rahulgandhi #gujaratelections2022 #himachalelections2022 #stopbharatjodoyatra ","['""Rahul', 'Gandhi', 'Stop', 'Bharat', 'Jodo', 'Yatra,', 'Go', 'Himachal', '&amp;', 'Gujarat', 'For', 'Campaigning"":', 'Congress', 'MP', 'Francisco', 'Sardinha', '-', 'https://t.co/DlzyHmY9BA', '#BharatJodoYatra', '#Congress', '#RahulGandhi', '#GujaratElections2022', '#HimachalElections2022', '#StopBharatJodoYatra', 'https://t.co/v9aSYTc6p3']"
